Precision,Recall
0.983333,0.0833333
0.983607,0.0833333
0.983871,0.0833333
0.984127,0.0833333
0.984375,0.0833333
0.984615,0.0833333
0.984848,0.0833333
0.985075,0.0833333
0.985294,0.0833333
0.985507,0.0833333
0.985714,0.0833333
0.971831,0.166667
0.972222,0.166667
0.972603,0.166667
0.959459,0.25
0.96,0.25
0.960526,0.25
0.961039,0.25
0.961538,0.25
0.962025,0.25
0.9625,0.25
0.962963,0.25
0.95122,0.333333
0.951807,0.333333
0.952381,0.333333
0.952941,0.333333
0.94186,0.416667
0.942529,0.416667
0.943182,0.416667
0.94382,0.416667
0.944444,0.416667
0.945055,0.416667
0.945652,0.416667
0.946237,0.416667
0.93617,0.5
0.936842,0.5
0.9375,0.5
0.938144,0.5
0.928571,0.583333
0.919192,0.666667
0.92,0.666667
0.920792,0.666667
0.911765,0.75
0.912621,0.75
0.903846,0.833333
0.895238,0.916667
0.896226,0.916667
0.88785,1
0.888889,1
0.889908,1
0.890909,1
0.891892,1
0.892857,1
0.893805,1
0.894737,1
0.895652,1
0.896552,1
0.897436,1
0.898305,1
0.89916,1
0.9,1
